"","htele","htslo","htrug","hspc1","hspc2","hcltp","hcltt","hhpgr","hhpgr2km","hhfwc","hcpre","hctmn","hctma","htilu2km","htpls2km"
"htele",1,0.554117587996365,0.570370748190282,0.387464566564522,-0.220358345999454,-0.355534280544069,-0.790895686391464,0.0993300801153079,0.236580574073779,0.40697218987974,-0.137594381988561,-0.305539012927407,-0.122946383291627,-0.630084571832962,0.549675785479388
"htslo",0.554117587996365,1,0.9712817487006,0.185608924298315,-0.0927478627074923,-0.0073775479682678,-0.400064630067743,0.232026740624024,0.316700346611132,0.355348271456593,-0.00625472568974921,-0.151975158555603,-0.0961405215619661,-0.236373637847047,0.249213390838894
"htrug",0.570370748190282,0.9712817487006,1,0.188490202764316,-0.101555014349208,-0.00355116254089203,-0.409928068078237,0.248059704605426,0.331976878016701,0.367997747395642,-0.00466345242927179,-0.156394525816817,-0.100095320511545,-0.245377236266524,0.261016718373323
"hspc1",0.387464566564522,0.185608924298315,0.188490202764316,1,0.0231609159059843,-0.437872271619699,-0.47695858475052,-0.24465142504661,-0.212249696380692,-0.128211773413702,-0.172839229810153,-0.180271610115598,0.0196702441523739,-0.275952812817992,0.0439918941372127
"hspc2",-0.220358345999454,-0.0927478627074923,-0.101555014349208,0.0231609159059843,1,-0.304487181057146,0.128061395506748,-0.328790243813551,-0.333684878399941,-0.174686491829992,-0.131262332399416,0.0761058820916078,0.1271185992087,0.386796343908053,-0.346389125697627
"hcltp",-0.355534280544069,-0.0073775479682678,-0.00355116254089203,-0.437872271619699,-0.304487181057146,1,0.401116290282609,0.538655521264132,0.591094822795974,0.0718787488332815,0.374116592897056,0.134924674337098,-0.157930793612283,0.308084442120007,-0.0530613564582923
"hcltt",-0.790895686391464,-0.400064630067743,-0.409928068078237,-0.47695858475052,0.128061395506748,0.401116290282609,1,0.0619272330142592,-0.0567637657713512,-0.205950922734339,0.161700014092049,0.361315327394351,0.147459289157639,0.563317571219488,-0.370216906765715
"hhpgr",0.0993300801153079,0.232026740624024,0.248059704605426,-0.24465142504661,-0.328790243813551,0.538655521264132,0.0619272330142592,1,0.724162206013278,0.466128416518394,0.220476639080471,0.00722365770818057,-0.136203981241615,-0.00712905507026197,0.239147978651235
"hhpgr2km",0.236580574073779,0.316700346611132,0.331976878016701,-0.212249696380692,-0.333684878399941,0.591094822795974,-0.0567637657713512,0.724162206013278,1,0.49963855320171,0.241955369994701,-0.0379293554560923,-0.178676976796995,-0.037782048803031,0.33292369970746
"hhfwc",0.40697218987974,0.355348271456593,0.367997747395642,-0.128211773413702,-0.174686491829992,0.0718787488332815,-0.205950922734339,0.466128416518394,0.49963855320171,1,0.0261434258527591,-0.0817481442934395,-0.0853482878497795,-0.293565062746492,0.468047598716663
"hcpre",-0.137594381988561,-0.00625472568974921,-0.00466345242927179,-0.172839229810153,-0.131262332399416,0.374116592897056,0.161700014092049,0.220476639080471,0.241955369994701,0.0261434258527591,1,0.656341291191069,0.48463304101122,0.107252483822112,-0.00628554048552905
"hctmn",-0.305539012927407,-0.151975158555603,-0.156394525816817,-0.180271610115598,0.0761058820916078,0.134924674337098,0.361315327394351,0.00722365770818057,-0.0379293554560923,-0.0817481442934395,0.656341291191069,1,0.90917985685486,0.226565670671286,-0.153761649341554
"hctma",-0.122946383291627,-0.0961405215619661,-0.100095320511545,0.0196702441523739,0.1271185992087,-0.157930793612283,0.147459289157639,-0.136203981241615,-0.178676976796995,-0.0853482878497795,0.48463304101122,0.90917985685486,1,0.0788186564365846,-0.095177074706599
"htilu2km",-0.630084571832962,-0.236373637847047,-0.245377236266524,-0.275952812817992,0.386796343908053,0.308084442120007,0.563317571219488,-0.00712905507026197,-0.037782048803031,-0.293565062746492,0.107252483822112,0.226565670671286,0.0788186564365846,1,-0.725350069547286
"htpls2km",0.549675785479388,0.249213390838894,0.261016718373323,0.0439918941372127,-0.346389125697627,-0.0530613564582923,-0.370216906765715,0.239147978651235,0.33292369970746,0.468047598716663,-0.00628554048552905,-0.153761649341554,-0.095177074706599,-0.725350069547286,1
